time_s,JR_mean_T_K,JR_max_T_K,JR_probe_centerline_T_K,JR_probe_radial_edge_T_K,JR_probe_axial_bottom_T_K,JR_probe_axial_top_T_K,Can_mean_T_K,Can_wall_probe_T_K,top_end_T_K,bottom_end_T_K,total_stored_energy_J_rel_t0,total_boundary_heat_loss_J_cumulative,wallheatflux_raw_W_DIAGNOSTIC_ONLY
3.4,298.337653,298.34553,298.34553,298.32916,298.30201,298.34207,298.322161,298.3283,298.15003,298.29524,11.176223668314977,-0.13574825831497783,-0.12893862647499998
3.45,298.340394,298.348405,298.3484,298.33188,298.3044,298.34488,298.32478,298.33101,298.15003,298.29762,11.342612783269416,-0.1397774407694179,-0.130906053016
3.5,298.343135,298.351279,298.35128,298.3346,298.3068,298.34768,298.3274,298.33372,298.15003,298.29999,11.508989821210216,-0.14379454621021814,-0.132873985996
3.55,298.345876,298.354154,298.35415,298.33732,298.30921,298.35048,298.33002,298.33644,298.15004,298.30237,11.675354729547138,-0.14779952204713886,-0.134842412379
3.6,298.348617,298.357028,298.35702,298.34004,298.31161,298.35329,298.33264,298.33915,298.15004,298.30475,11.841707591703818,-0.1517924517038196,-0.13681131814300002
3.65,298.351357,298.359902,298.3599,298.34276,298.31402,298.35609,298.335261,298.34187,298.15004,298.30713,12.008048386710055,-0.15577331421005702,-0.138780689285
3.7,298.354097,298.362776,298.36277,298.34548,298.31643,298.35889,298.337883,298.34458,298.15004,298.30951,12.174377125436818,-0.15974212043681923,-0.140750514818
3.75,298.356836,298.36565,298.36565,298.3482,298.31883,298.36169,298.340505,298.3473,298.15005,298.31189,12.340693815555058,-0.1636988780550599,-0.14272078077099998
3.8,298.359575,298.368524,298.36852,298.35092,298.32125,298.3645,298.343127,298.35001,298.15005,298.31428,12.506998478259337,-0.16764360825933977,-0.14469147518699998
3.85,298.362314,298.371398,298.37139,298.35364,298.32366,298.3673,298.34575,298.35273,298.15005,298.31667,12.673291103771376,-0.17157630127137757,-0.146662587126
3.9,298.365053,298.374272,298.37427,298.35636,298.32607,298.3701,298.348373,298.35545,298.15006,298.31905,12.839571705864614,-0.17549697086461613,-0.148634104663
3.95,298.367791,298.377146,298.37714,298.35908,298.32849,298.3729,298.350996,298.35816,298.15006,298.32145,13.005840341498379,-0.1794056739983798,-0.150606017888
4.0,298.370528,298.38002,298.38001,298.3618,298.33091,298.3757,298.35362,298.36088,298.15006,298.32384,13.172096945348695,-0.1833023453486966,-0.15257831590399998
4.05,298.373266,298.382894,298.38289,298.36453,298.33333,298.3785,298.356244,298.3636,298.15007,298.32623,13.338341556202057,-0.18718702370205875,-0.15455098883
4.1,298.376003,298.385768,298.38576,298.36725,298.33575,298.3813,298.358868,298.36632,298.15007,298.32863,13.504574208175537,-0.19105974317553986,-0.156524024799
4.15,298.37874,298.388641,298.38863,298.36997,298.33817,298.3841,298.361493,298.36904,298.15007,298.33102,13.670794877102935,-0.1949204796029349,-0.15849741695800001
4.2,298.381476,298.391515,298.3915,298.3727,298.3406,298.3869,298.364118,298.37176,298.15008,298.33342,13.837003578783776,-0.19876924878377622,-0.16047115446600002
4.25,298.384212,298.394389,298.39438,298.37542,298.34302,298.3897,298.366743,298.37448,298.15008,298.33582,14.003200318989457,-0.20260605648945784,-0.16244522949700002
4.3,298.386948,298.397262,298.39725,298.37815,298.34545,298.3925,298.369369,298.3772,298.15008,298.33822,14.169385119780816,-0.20643092478081826,-0.16441963123800002
4.35,298.389684,298.400136,298.40012,298.38087,298.34788,298.3953,298.371995,298.37992,298.15009,298.34062,14.335557952756417,-0.21024382525641983,-0.166394352889
4.4,298.392419,298.403009,298.40299,298.3836,298.35031,298.3981,298.374621,298.38264,298.15009,298.34303,14.501718859307697,-0.2140447993076986,-0.168369386661
4.45,298.395154,298.405882,298.40587,298.38633,298.35274,298.4009,298.377247,298.38536,298.1501,298.34543,14.667867835612098,-0.21783384311209986,-0.170344722779
4.5,298.397888,298.408755,298.40874,298.38905,298.35517,298.4037,298.379874,298.38808,298.1501,298.34784,14.834004889032936,-0.22161096403293712,-0.17232035448100003
4.55,298.400622,298.411629,298.41161,298.39178,298.3576,298.4065,298.382501,298.3908,298.15011,298.35025,15.000130043078258,-0.22537618557825922,-0.17429627401599998
4.6,298.403356,298.414502,298.41448,298.39451,298.36004,298.40929,298.385128,298.39352,298.15011,298.35265,15.166243252476256,-0.22912946247625854,-0.17627247364499998
4.65,298.40609,298.417375,298.41735,298.39723,298.36247,298.41209,298.387755,298.39625,298.15012,298.35506,15.332344575776139,-0.23287085327613966,-0.178248946639
4.7,298.408823,298.420247,298.42023,298.39996,298.36491,298.41489,298.390382,298.39897,298.15012,298.35748,15.498433995036697,-0.2366003400366985,-0.18022568628400001
4.75,298.411556,298.42312,298.4231,298.40269,298.36735,298.41769,298.39301,298.40169,298.15013,298.35989,15.664511516172015,-0.24031792867201673,-0.18220268587500002
4.8,298.414289,298.425993,298.42597,298.40542,298.36979,298.42049,298.395638,298.40441,298.15013,298.3623,15.830577156137338,-0.24402363613734046,-0.184179937716
4.85,298.417021,298.428866,298.42884,298.40815,298.37223,298.42328,298.398266,298.40714,298.15014,298.36471,15.996630913715059,-0.24771746121506233,-0.186157436127
4.9,298.419753,298.431738,298.43171,298.41087,298.37467,298.42608,298.400894,298.40986,298.15015,298.36713,16.1626727692253,-0.2513993842252997,-0.188135174434
4.95,298.422485,298.43461,298.43458,298.4136,298.37711,298.42888,298.403522,298.41259,298.15015,298.36954,16.328702793560893,-0.25506947606089625,-0.190113147975
