time_s,t_eff_k,q_raw_w
101.5,298.108,0.0
101.6,298.108,0.0
101.7,298.108,0.0
101.8,298.108,0.0
101.9,298.108,0.0
102.0,298.108,0.0
102.1,298.108,0.0
102.2,298.108,0.0
102.3,298.108,0.0
102.4,298.108,0.0
102.5,298.108,0.0
102.6,298.108,0.0
102.7,298.108,0.0
102.8,298.108,0.0
102.9,298.108,0.0
103.0,298.108,0.0
103.1,298.109,0.0
103.2,298.109,0.0
103.3,298.109,0.0
103.4,298.109,0.0
103.5,298.109,0.0
103.6,298.109,0.0
103.7,298.109,0.0
103.8,298.109,0.0
103.9,298.109,0.0
104.0,298.109,0.0
104.1,298.109,0.0
104.2,298.109,0.0
104.3,298.109,0.0
104.4,298.109,0.0
104.5,298.109,0.0
104.6,298.109,0.0
104.7,298.109,0.0
104.8,298.109,0.0
104.9,298.109,0.0
105.0,298.109,0.0
105.1,298.109,0.0
105.2,298.109,0.0
105.3,298.109,0.0
105.4,298.109,0.0
105.5,298.109,0.0
