"Points:0","Points:1","Points:2","T","coords:0","coords:1","coords:2"
-1.210719347e-08,0.000760018127,0.003909375984,320.5886536,-1.210719347e-08,0.000760018127,0.003909375984
-1.210719347e-08,0.001000526245,0.003970135003,320.153717,-1.210719347e-08,0.001000526245,0.003970135003
-1.210719347e-08,0.001001750352,0.004854820203,324.5075073,-1.210719347e-08,0.001001750352,0.004854820203
-1.210719347e-08,0.0005002846592,0.003843747778,320.5888977,-1.210719347e-08,0.0005002846592,0.003843747778
-1.210719347e-08,0.002003795933,0.004856392276,324.0900269,-1.210719347e-08,0.002003795933,0.004856392276
-1.210719347e-08,0.002001037821,0.003970583435,320.8573914,-1.210719347e-08,0.002001037821,0.003970583435
-1.210719347e-08,0.001529260771,0.004855647683,324.2355042,-1.210719347e-08,0.001529260771,0.004855647683
-1.210719347e-08,0.00150050025,0.003843952902,320.5731812,-1.210719347e-08,0.00150050025,0.003843952902
-1.210719347e-08,0.003006635699,0.004859367386,324.3292847,-1.210719347e-08,0.003006635699,0.004859367386
-1.210719347e-08,0.003001969773,0.003971476573,321.0189209,-1.210719347e-08,0.003001969773,0.003971476573
-1.210719347e-08,0.002501007402,0.003844413208,319.4689941,-1.210719347e-08,0.002501007402,0.003844413208
-1.210719347e-08,0.004010961391,0.004864421207,324.2778931,-1.210719347e-08,0.004010961391,0.004864421207
-1.210719347e-08,0.004003659822,0.003973033279,321.2315674,-1.210719347e-08,0.004003659822,0.003973033279
-1.210719347e-08,0.003501971019,0.003845277708,319.0337524,-1.210719347e-08,0.003501971019,0.003845277708
-1.210719347e-08,0.005018038675,0.00487292232,323.1750183,-1.210719347e-08,0.005018038675,0.00487292232
-1.210719347e-08,0.005007136147,0.003975809086,320.5595093,-1.210719347e-08,0.005007136147,0.003975809086
-1.210719347e-08,0.004503997508,0.003846810898,319.2236633,-1.210719347e-08,0.004503997508,0.003846810898
-1.210719347e-08,0.006030035671,0.004887678195,322.6195679,-1.210719347e-08,0.006030035671,0.004887678195
-1.210719347e-08,0.006015284453,0.003981226124,319.9626465,-1.210719347e-08,0.006015284453,0.003981226124
-1.210719347e-08,0.005508762319,0.0038498051,318.8847656,-1.210719347e-08,0.005508762319,0.0038498051
-1.210719347e-08,0.007050217129,0.004914518446,321.342804,-1.210719347e-08,0.007050217129,0.004914518446
-1.210719347e-08,0.007034897804,0.003991023172,318.8500061,-1.210719347e-08,0.007034897804,0.003991023172
-1.210719347e-08,0.00652089389,0.003856323194,318.22995,-1.210719347e-08,0.00652089389,0.003856323194
-1.210719347e-08,0.007949829102,0.004953423515,318.8882751,-1.210719347e-08,0.007949829102,0.004953423515
-1.210719347e-08,0.008007901721,0.003958691377,316.1530151,-1.210719347e-08,0.008007901721,0.003958691377
-1.210719347e-08,0.008080963977,0.004437902011,317.379364,-1.210719347e-08,0.008080963977,0.004437902011
-1.210719347e-08,0.007545603905,0.003866593819,317.6293335,-1.210719347e-08,0.007545603905,0.003866593819
-1.210719347e-08,0.009268333204,0.003943966702,312.0570068,-1.210719347e-08,0.009268333204,0.003943966702
-1.210719347e-08,0.009622460231,0.004216303118,312.2247925,-1.210719347e-08,0.009622460231,0.004216303118
-1.210719347e-08,0.009622451849,0.003954858519,312.0838623,-1.210719347e-08,0.009622451849,0.003954858519
-1.210719347e-08,-0.008897000924,0.005490493495,315.2967224,-1.210719347e-08,-0.008897000924,0.005490493495
